ds,y
5/2/95,514.859985
5/1/95,514.26001
4/28/95,514.710022
4/27/95,513.549988
4/26/95,512.659973
4/25/95,512.099976
4/24/95,512.890015
4/21/95,508.48999
4/20/95,505.290009
4/19/95,504.920013
4/18/95,505.369995
4/17/95,506.130005
4/13/95,509.230011
4/12/95,507.170013
4/11/95,505.529999
4/10/95,507.01001
4/7/95,506.420013
4/6/95,506.079987
4/5/95,505.570007
4/4/95,505.23999
4/3/95,501.850006
3/31/95,500.709991
3/30/95,502.220001
3/29/95,503.119995
3/28/95,503.899994
3/27/95,503.200012
3/24/95,500.970001
3/23/95,495.950012
3/22/95,495.670013
3/21/95,495.070007
3/20/95,496.140015
3/17/95,495.519989
3/16/95,495.410004
3/15/95,491.880005
3/14/95,492.890015
3/13/95,490.049988
3/10/95,489.570007
3/9/95,483.160004
3/8/95,483.140015
3/7/95,482.119995
3/6/95,485.630005
3/3/95,485.420013
3/2/95,485.130005
3/1/95,485.649994
2/28/95,487.390015
2/27/95,483.809998
2/24/95,488.109985
2/23/95,486.910004
2/22/95,485.070007
2/21/95,482.720001
2/17/95,481.970001
2/16/95,485.220001
2/15/95,484.540009
2/14/95,482.549988
2/13/95,481.649994
2/10/95,481.459991
2/9/95,480.190002
2/8/95,481.190002
2/7/95,480.809998
2/6/95,481.140015
2/3/95,478.649994
2/2/95,472.790009
2/1/95,470.399994
1/31/95,470.420013
1/30/95,468.51001
1/27/95,470.390015
1/26/95,468.320007
1/25/95,467.440002
1/24/95,465.859985
1/23/95,465.820007
1/20/95,464.779999
1/19/95,466.950012
1/18/95,469.709991
1/17/95,470.049988
1/16/95,469.380005
1/13/95,465.970001
1/12/95,461.640015
1/11/95,461.660004
1/10/95,461.679993
1/9/95,460.829987
1/6/95,460.679993
1/5/95,460.339996
1/4/95,460.709991
1/3/95,459.109985
12/30/94,459.269989
12/29/94,461.170013
12/28/94,460.859985
12/27/94,462.470001
12/23/94,459.829987
12/22/94,459.679993
12/21/94,459.609985
12/20/94,457.100006
12/19/94,457.910004
12/16/94,458.799988
12/15/94,455.339996
12/14/94,454.970001
12/13/94,450.149994
12/12/94,449.470001
12/9/94,446.959991
12/8/94,445.450012
12/7/94,451.230011
12/6/94,453.109985
12/5/94,453.320007
12/2/94,453.299988
12/1/94,448.920013
11/30/94,453.690002
11/29/94,455.170013
11/28/94,454.160004
11/25/94,452.290009
11/23/94,449.929993
11/22/94,450.089996
11/21/94,458.299988
11/18/94,461.470001
11/17/94,463.570007
11/16/94,465.619995
11/15/94,465.029999
11/14/94,466.040009
11/11/94,462.350006
11/10/94,464.369995
11/9/94,465.399994
11/8/94,465.649994
11/7/94,463.070007
11/4/94,462.279999
11/3/94,467.910004
11/2/94,466.51001
11/1/94,468.420013
10/31/94,472.350006
10/28/94,473.769989
10/27/94,465.850006
10/26/94,462.619995
10/25/94,461.529999
10/24/94,460.829987
10/21/94,464.890015
10/20/94,466.850006
10/19/94,470.279999
10/18/94,467.660004
10/17/94,468.959991
10/14/94,469.100006
10/13/94,467.790009
10/12/94,465.470001
10/11/94,465.790009
10/10/94,459.040009
10/7/94,455.100006
10/6/94,452.359985
